"","deptWork","deptSpeak","fedUse","noUseBenefit","noUseAccess","noUseCity","noUsePurchase","noUseOther","noUseOtherText","useDemo","useEcon","useEnv","useEdu","useHealth","useHouse","useCrim","useSci","useReg","useTranspo","useLegal","useCaFi","useElec","useLeg","otherDataText","geoState","geoCounty","geoCountySub","geoCBSA","geoTract","geoBlockGroup","geoBlock","geoAll","geoNA","doTrack","doID","doBudget","doInform","doPredict","doReg","doOther","otherDoText","import","startUse","pastChg","lessFreq","lessQuality","lessAccess","lessUse","lessOther","lessOtherText","lessReplace","futureChg","fLessFreq","flessQual","fLessAccess","fLessUse","fLessOther","fLessOtherText","fLessReplace","freq","access","easeUse","accuracy","futureFreq","futureAccess","futureUse","futureAccuracy","mena","hispanic","lostAccess","lostData","lossImpact","wishData","wishListData","dataLabor","dataDOJ","dataDOT","dataCensus","dataDOI","dataHHS","dataDOE","dataEPA","dataHUD","dataUSDA","dataFDIC","dataFHFA","dataIRS","dataCFPB","dataOther","howAccess","deptSpeakGroup","deptWorkGroup","cityID"
"77","it","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","","","Housing","Criminal Justice","","","Transportation","Legal","","","","","","","","","","","","","Not applicable","","","","Inform policy decisions","Create predictive models","","","","Fairly important","3 to 5 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Poor","Much worse","Much worse","About the same","About the same","Not at all valuable","Not at all valuable","No","","hard to know, i.e. don't know what we don't know","Yes","white house data","","Department of Justice ","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","Downloading a data file","citywide","it/gis",245
"78","innovation","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","Environmental","","","Housing","","","","","","","","","","","","","","Census Tracts","Census Block Groups","Census Blocks","","","","Identify local issues","","","Create predictive models","","","","Fairly important","1 to 3 years ago","A lot more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","Somewhat worse","Much worse","About the same","About the same","Moderately valuable","Very valuable","No","","Difficulty disseminating services","No","","","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"Federal Housing Finance Agency ","","","","An online tool ","citywide","innovation/analytics",666
"79","community development","affordable housing","Yes",NA,NA,"","",NA,NA,"","","Environmental","","","Housing","","","Regulatory","","","","","","","","","","","Census Tracts","","","","","","Identify local issues","","","","Regulatory enforcement","","","Fairly important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Just right","Easy","Difficult","Good","Somewhat worse","About the same","Somewhat worse","About the same","Slightly valuable","Slightly valuable","No","","Would lose the ability to track low income census tracts, and jeopardize future funding. Increasing the likelihood of neighborhood blight.","No","","","","","Census Bureau ","","","","Environmental Protection Agency ","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","housing","planning/development",184
"80","finance","finance","Yes",NA,NA,"","",NA,NA,"","","","","","","","","Regulatory","","","","","","","","","","","","","","","Not applicable","","","","","","","Other - Write In (Required)","Tax Administration","Very important","5 to 10 years ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Easy","Easy","Good","About the same","About the same","About the same","Somewhat better",NA,NA,"No","","Less tax revenue","No","","","","","","","","","","","",NA,"","Internal Revenue Service ","","","Downloading a data file","finance","finance",259
"81","city manager","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","","","Scientific","Regulatory","Transportation","","","Electoral","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","","","Inform policy decisions","","Regulatory enforcement","","","Fairly important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Neutral","Neutral","Acceptable","Somewhat worse","Somewhat worse","About the same","About the same","Not at all valuable","Moderately valuable","No","","ability to adhere to federal standards and protocols","Yes","new climate research data","","","Department of Transportation ","","","","","Environmental Protection Agency ","","",NA,"","","","","Downloading a data file","citywide","city manager office",650
"82","office of planning","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","Health","Housing","","","","Transportation","","","","","","State","","","","Census Tracts","","Census Blocks","","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","","","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Easy","Easy","Good","About the same","About the same","About the same","About the same","Moderately valuable","Moderately valuable","No","","Detrimental","Yes","Federal employment by location","Department of Labor ","","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","planning/development",632
"83","hsema","hsema","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","","Health","Housing","Criminal Justice","Scientific","","Transportation","","","","","NOAA","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","Identify local issues","","Inform policy decisions","Create predictive models","","Other - Write In (Required)","Emergency Management","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Neutral","Easy","Good","Somewhat better","Somewhat better","Somewhat better","About the same","Moderately valuable","Moderately valuable","No","","It would limit the ability of HSEMA to prepare for and respond to special events and disasters that occur in the City.","No","","","Department of Justice ","","Census Bureau ","","","","","","",NA,"","","","Other - Write In ","An online tool ","emergency services","emergency services",632
"84","mayor's office","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","Health","Housing","Criminal Justice","","Regulatory","Transportation","Legal","","","Legislative","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Slightly important","1 to 3 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Neutral","Very easy","Good","About the same","About the same","About the same","About the same","Slightly valuable","Moderately valuable","No","","It serves largely as a benchmark to us right now.  So the impact is questionable.","No","","Department of Labor ","Department of Justice ","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","mayor's office",213
"85","office of performance and accountability","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","Health","Housing","","","","Transportation","","","","","","","County","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","","Inform policy decisions","Create predictive models","","","","Very important","5 to 10 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Easy","Very Good","About the same","About the same","About the same","About the same","Slightly valuable","Very valuable","No","","Not able to capture data for critical citywide outcome measures","No","","","Department of Justice ","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","Downloading a data file","citywide","governance/performance",744
"86","office of economic & workforce development","office of economic & workforce development","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","","","","","","","","","","","","","County","","","Census Tracts","","","","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","","","","","Very important","5 to 10 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Easy","Neutral","Acceptable","About the same","Somewhat better","Somewhat better","About the same","Slightly valuable",NA,"No","","Less of an ability to identify areas of concern within our communities, and less of an ability to track progress or regression within identified areas over time.","Yes","Individual wage/payroll records to verify client employment retention and income after placement","Department of Labor ","","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","planning/development","planning/development",187
"87","planning","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","","Housing","","","","Transportation","","","Electoral","","","","","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","","Identify local issues","Make budgeting decisions","Inform policy decisions","Create predictive models","","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Easy","Difficult","Acceptable","Much worse","Much worse","Much worse","Much worse","Slightly valuable",NA,"No","","Possible financial loss with state shared revenues; data loss that is used to evaluate programs etc.","No","","Department of Labor ","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","planning/development",222
"88","controller","controller","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","","","","Transportation","","","","","Commerce - BEA","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","","Make budgeting decisions","Inform policy decisions","Create predictive models","","","","Very important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Easy","Very easy","Very Good","About the same","About the same","About the same","Somewhat better",NA,NA,"No","","Less informed policy decisions, worse program outcomes, mis-allocation of resources.","No","","Department of Labor ","","","Census Bureau ","","","","","","",NA,"","","","Other - Write In ","Downloading a data file","finance","finance",187
"89","mayor's office","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","Environmental","","","Housing","","","Regulatory","Transportation","Legal","","","","","","","","","Census Tracts","","","","","","","Make budgeting decisions","Inform policy decisions","Create predictive models","","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Difficult","Poor","Much worse","Much worse","Much worse","Much worse",NA,NA,"No","","We have a large low income population and on-line only tools for the census coupled with decreased door knocking will adversely effect this population.","Yes","Better digital divide & broadband information","","","Department of Transportation ","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","mayor's office",893
"90","city managers office","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","","Criminal Justice","","","Transportation","Legal","","","Legislative","","","","","","Census Tracts","","Census Blocks","","","","Identify local issues","Make budgeting decisions","","","","","","Fairly important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Easy","Easy","Very Good","About the same","About the same","Somewhat better","Somewhat better","Slightly valuable","Slightly valuable","No","","worse decision making","No","","Department of Labor ","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","city manager office",883
"91","administration","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","","","","","","","","","","","","County Subdivision","","Census Tracts","Census Block Groups","","","","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Too infrequent","Easy","Neutral","Poor","Somewhat worse","About the same","About the same","Somewhat worse","Moderately valuable","Moderately valuable","No","","Lack of important data on city demographics and social and economic trends, lack of comparison data with other cities","Yes","city level data is not available from many federal sites","Department of Labor ","","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","administration",424
"92","planning","planning","Yes",NA,NA,"","",NA,NA,"Demographic","","Environmental","","Health","Housing","","","","Transportation","","","","Legislative","","State","County","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","","Make budgeting decisions","Inform policy decisions","Create predictive models","Regulatory enforcement","","","Important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Just right","Neutral","Neutral","Good","About the same","Somewhat better","Somewhat better","Somewhat better","Moderately valuable","Moderately valuable","No","","An inability to perform demographic data searches necessary to make many decisions.","No","","","","Department of Transportation ","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","planning/development","planning/development",997
"93","stir office","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","","Criminal Justice","","","Transportation","","","","","","","","","","Census Tracts","Census Block Groups","Census Blocks","","","","Identify local issues","Make budgeting decisions","Inform policy decisions","Create predictive models","","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Very easy","Very easy","Very Good","Somewhat better","Much better","Somewhat better","Somewhat better","Very valuable","Very valuable","No","","loss of comparability and trends","No","","Department of Labor ","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","Downloading a data file","citywide","innovation/analytics",414
"94","mayor's office","office of performance management and open data","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","","","","Transportation","","","Electoral","","","","County","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Important","1 to 3 years ago","About the same",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","Somewhat better","Somewhat better","Much better","Somewhat better","Very valuable","Very valuable","No","","N/A","No","","","","","Census Bureau ","","","Department of Education ","","Department of Housing and Urban Development ","",NA,"","","","","API","governance/performance","mayor's office",505
"95","new castle county police","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","","Education","","","Criminal Justice","","","","Legal","","","Legislative","","State","County","","","","","","","","","","Make budgeting decisions","Inform policy decisions","Create predictive models","","","","Fairly important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Neutral","Neutral","Acceptable","Somewhat better","Somewhat better","Somewhat better","Somewhat better","Very valuable","Very valuable","No","","The inability to immediately address an issue.","No","","","Department of Justice ","Department of Transportation ","","","","","","","",NA,"","","","","Downloading a data file","citywide","emergency services",693
"96","legislature","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","","","Housing","Criminal Justice","","","Transportation","","","Electoral","","","","County","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","","","","","Important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Good","Somewhat worse","Somewhat better","Somewhat better","Somewhat better","Very valuable","Very valuable","No","","UK","No","","","Department of Justice ","Department of Transportation ","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","legislative",453
"97","housing authority","departmental","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","Health","Housing","Criminal Justice","","","Transportation","Legal","","","Legislative","","State","County","County Subdivision","","Census Tracts","","","","","Track city or department performance","Identify local issues","Make budgeting decisions","","Create predictive models","Regulatory enforcement","","","Very important","1 to 3 years ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Neutral","Very Poor","Much worse","About the same","Somewhat worse","Much worse",NA,"Slightly valuable","No","","Allocation of resources would diminish and the community would loose a lot of money. Local programs will likely vanish.","No","","","","","","","Department of Health and Human Services ","","","","",NA,"","","","","Downloading a data file","housing","housing",253
"98","nm public health division","citywide","Yes",NA,NA,"","",NA,NA,"","Economic","Environmental","Education","Health","Housing","","","","Transportation","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","Identify local issues","","Inform policy decisions","","","Other - Write In (Required)","Provide sub-county data to local NGOs for progam plannig and policy work","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Just right","Neutral","Difficult","Good","Somewhat worse","Somewhat worse","About the same","About the same","Slightly valuable","Moderately valuable","Yes","EPA online mapping feature services on their ArcGIS Online platform were moved, but appear again in another spot; CMS-HRSA-ASPE health exchange data at county level never showed up this year","We rely on geospatially organized datasets to inform local agencies and citizen advocacy groups so that they can engage their constituents and write more effective grant proposals to bring benefit to our state.  Loss of Fed data cold seriously hamper these efforts.","Yes","Comprehensive and consistent law enforcement and corrections data that is geospatially organized (e.g., census tract level)","","","","Census Bureau ","","","","","Department of Housing and Urban Development ","Department of Agriculture ",NA,"","","","","An online tool ","citywide","health",924
"99","maintenance","citywide","No",NA,NA,"","We purchase data instead.",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too frequent","Very easy","Very easy","Very Good","Much better","Much better","Much better","Much better",NA,NA,"","","nothing","No","","","","","","","","","","","",NA,"","","","","","citywide","public works",667
"100","office of civic innovation","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","","","Transportation","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","","Inform policy decisions","Create predictive models","","","","Important","3 to 5 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","Much worse","Much worse","Much worse","Much worse","Very valuable","Very valuable","No","","It will be difficult for us to benchmark and make it harder to inform policy decisions. For example, we use the FCC 477 block data to inform digital inclusion efforts - we need it to be timely and accurate.","Yes","better health data at census block level","","","","Census Bureau ","","Department of Health and Human Services ","","Environmental Protection Agency ","","",NA,"","","","","Downloading a data file","citywide","innovation/analytics",150
"101","economic and community development","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","Environmental","Education","Health","Housing","","Scientific","","Transportation","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","Identify local issues","","Inform policy decisions","Create predictive models","","","","Important","5 to 10 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Difficult","Acceptable","Somewhat better","About the same","Somewhat better","Somewhat better",NA,NA,"No","","Inaccurate models or visualizations for driving decision making.","No","","Department of Labor ","","Department of Transportation ","Census Bureau ","","","","","","",NA,"","","","","Downloading a data file","citywide","planning/development",418
"102","human rights and equal economic opportunity (procurement & contract compliance) - hreeo","hreeo","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","Criminal Justice","","","","Legal","","","","","State","County","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","","Identify local issues","","Inform policy decisions","","Regulatory enforcement","","","Very important","5 to 10 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Just right","Easy","Difficult","Poor","Much worse","Much worse","Somewhat worse","Much worse","Very valuable","Very valuable","No","","Unfortunately the minority populations don't participate in census data and we never really see the real numbers.","No","","Department of Labor ","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","governance/performance","governance/performance",127
"103","planning and development","planning","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","","","Transportation","Legal","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","Identify local issues","","Inform policy decisions","","","","","Very important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Neutral","Good","About the same","Somewhat better","Somewhat better","Somewhat better",NA,NA,"No","","Decision making would be more difficult","No","","Department of Labor ","","","","","","","","Department of Housing and Urban Development ","",NA,"Federal Housing Finance Agency ","","","","An online tool ","planning/development","planning/development",324
"104","city manager's office","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","","","","Housing","","","","Transportation","","","","","","","","","","Census Tracts","Census Block Groups","","","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","","Regulatory enforcement","","","Important","1 to 3 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Easy","Acceptable","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse",NA,NA,"Yes","Past reports","inability to really understand our community make up","Yes","financial details","","","","","","","","","","",NA,"Federal Housing Finance Agency ","","","","Downloading a data file","citywide","city manager office",711
"105","families, children, youth and recreation (dfcyr)","mine (dfcyr)","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","Health","Housing","Criminal Justice","","Regulatory","Transportation","Legal","","","","","State","County","","","Census Tracts","","","","","","Identify local issues","","","","","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Easy","Neutral","Acceptable","Somewhat better","Much better","Much better","About the same","Slightly valuable",NA,"No","","lose our ability to ensure equity","Yes","demographic single age is hard to get consistently; homelessness and parenting is not consistent across","Department of Labor ","Department of Justice ","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","family/children","family/children",447
"106","office of performance management","office of performance management","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","","Housing","","","","Transportation","","","","","","State","County","","","","","","","","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Important","1 to 3 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Slightly valuable","Slightly valuable","No","","Would lose ability to evaluate outcomes as they relate to common federal measures, such as housing vacancy or unemployment rates.","Yes","More frequent updates of ACS data","Department of Labor ","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","governance/performance","governance/performance",850
"107","innovation & performance","innovation & performance","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","","","","","","","","","","State","County","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","","Identify local issues","","","Create predictive models","","","","Slightly important","1 to 3 years ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Difficult","Difficult","Acceptable","About the same","Somewhat better","Somewhat better","About the same","Very valuable","Very valuable","No","","Terrible. We have been planning Data Refuge days to prepare for this.","No","","","","","Census Bureau ","","Department of Health and Human Services ","","","","",NA,"","","","","An online tool ","innovation/analytics","innovation/analytics",776
"108","finance","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","Criminal Justice","","","Transportation","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","Create predictive models","Regulatory enforcement","","","Important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Just right","Difficult","Easy","Acceptable","Somewhat better","Somewhat better","Somewhat better","Somewhat better","Moderately valuable","Moderately valuable","No","","We would lose the ability to benchmark against federal trends.","No","","Department of Labor ","Department of Justice ","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","finance",901
"109","finance","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","","Regulatory","Transportation","","","","Legislative","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","","Inform policy decisions","Create predictive models","","Other - Write In (Required)","Grant Proposals","Important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","Somewhat worse","Much worse","About the same","About the same","Moderately valuable","Not at all valuable","No","","Loss of federal data would be greatly impactful, as federal funding and outside funding sometimes depends upon it. ","No","","","Department of Justice ","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","finance",901
"110","it","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","Criminal Justice","","Regulatory","","","","","Legislative","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","","","Inform policy decisions","","","","","Important","Less than a year ago","About the same",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Difficult","Acceptable","About the same","Somewhat better","Somewhat better","About the same","Very valuable","Very valuable","No","","statistical information and analysis could not be completed; impact decision making, potential budget ","No","","Department of Labor ","","","","","Department of Health and Human Services ","","","","",NA,"Federal Housing Finance Agency ","","","","Downloading a data file","citywide","it/gis",901
"111","administration","citywide","No",NA,NA,"We use data produced by our city instead.","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"About the same",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Just right","Neutral","Neutral","Acceptable","Somewhat better","About the same","About the same","About the same",NA,NA,"","","not sure","Yes","not sure","","","","","","","","","","",NA,"","","","","","citywide","administration",230
"112","it","citywide","No",NA,NA,"We use data produced by our city instead.","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","Somewhat better","Somewhat better","Somewhat better","Somewhat better",NA,NA,"","","Inability to compare our services and expenditures with other comparable cities. Benchmarking!","No","","","","","","","","","","","",NA,"","","","","","citywide","it/gis",147
"113","community devcelopment","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","","Health","Housing","","","","Transportation","","","","","","State","","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","","Identify local issues","Make budgeting decisions","Inform policy decisions","","","","","Fairly important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Just right","Neutral","Difficult","Good","Somewhat worse","Somewhat worse","About the same","Somewhat worse","Very valuable","Moderately valuable","No","","Impossible to track ongoing change of our population and unable to pinpoint populations in need of policy interventions.","Yes","economic data at the county subdivision level","Department of Labor ","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","planning/development",968
"114","publicworks/zoning","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","","","Regulatory","Transportation","","","","","","","","","","","","Census Blocks","","","","","","","Create predictive models","","","","Fairly important","5 to 10 years ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Difficult","Neutral","Acceptable","About the same","Somewhat better","Somewhat better","About the same","Not at all valuable","Not at all valuable","Yes","none","future trending and planning for growth","No","","","","","Census Bureau ","","","","Environmental Protection Agency ","Department of Housing and Urban Development ","",NA,"","","","","Downloading a data file","citywide","public works",470
"115","gov. grant connected to public health and planning","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","Scientific","","Transportation","","","","","","","","","","Census Tracts","","","","","","Identify local issues","","Inform policy decisions","","","Other - Write In (Required)","Make reports at a local level","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Difficult","Good","About the same","Somewhat worse","About the same","Somewhat better","Slightly valuable","Slightly valuable","No","","Ability to make a case to remedy an issue at a local level using federal funds.","Yes","Immigration Arrests","","","","Census Bureau ","","","","Environmental Protection Agency ","","Department of Agriculture ",NA,"","","","","An online tool ","citywide","health",924
